date,value_usd,value_cny,value_jpy,value_krw
2021-12-07,137388.9036182592,875826.782785679,15587870.226720456,162195852.16151744
2021-12-08,137830.7450324101,877471.872099832,15647235.60546584,162204729.2976961
2021-12-09,138077.788244235,875924.0652849538,15697235.00260204,161904499.53024974
2021-12-10,139749.9121945933,891115.3151088239,15854347.759152392,164531757.9750643
2021-12-13,139834.5021526886,889347.4336910995,15871355.688997803,164860678.9477547
2021-12-14,139041.5266138531,885068.8376604818,15791919.885346172,164778109.85308066
2021-12-15,143569.1173791924,914032.785794628,16329981.543785004,170018853.0025786
2021-12-16,138795.7319820751,883643.0276638813,15841589.943097588,164389668.29066733
2021-12-17,139926.3174622238,890938.8485454713,15904445.301561376,165973604.81604835
2021-12-20,138628.1256355053,883615.6728007108,15736787.28863504,164467024.05212903
2021-12-21,141648.8669317325,902954.8671430222,16100093.938141184,168579148.8045492
2021-12-22,143134.8926873528,911855.1473540494,16316519.386406768,170512306.47436056
2021-12-23,144431.2171073032,919896.8648781253,16482635.216364987,171551069.6321659
2021-12-24,144431.2171073032,919853.5355129928,16531308.247667711,171223207.88070795
2021-12-27,148464.3506620569,945213.1349250516,16974374.604244955,176066849.26957798
2021-12-28,147423.9836486168,939061.2910449592,16923093.93099202,174793249.75115812
2021-12-29,149543.3301413841,952172.2916762212,17163537.07894707,177635041.1194032
2021-12-30,149046.9374290848,949026.5646922116,17132647.065504562,176422394.98475003
2021-12-31,152952.24817379,974627.0205882068,17599145.14342979,181996352.87379465
2022-01-03,153407.1519964981,974887.1102225458,17663605.98836648,182213951.44720793
2022-01-04,154764.1750253677,983541.8087037144,17848643.241618134,184893672.97657177
2022-01-05,149811.1718942871,951945.1295678688,17404163.682891596,179249067.1715145
2022-01-06,149533.5608685074,950136.245758496,17365033.057470907,179328122.8715575
